,country,year,suicides_no,population,suicides_calc,gdp,gdp_per_capita
36,Albania,1992,47,2822500,1.6651904340124004,709452584,251
48,Albania,1993,73,2807300,2.6003633384390694,1228071038,437
60,Albania,1994,50,2849300,1.7548169725897589,1985673798,697
72,Albania,1995,88,2903400,3.03092925535579,2424499009,835
84,Albania,1996,89,2940200,3.027004965648595,3314898292,1127
96,Albania,1997,170,2977300,5.709871359957008,2359903108,793
108,Albania,1998,154,3012700,5.111693829455306,2707123772,899
120,Albania,1999,139,3029700,4.587912994685943,3414760915,1127
132,Albania,2000,54,2796300,1.931123270035404,3632043908,1299
144,Albania,2001,119,2799349,4.250988354792489,4060758804,1451
156,Albania,2002,133,2818839,4.718254572183796,4435078648,1573
168,Albania,2003,124,2843929,4.360165109607166,5746945913,2021
180,Albania,2004,146,2874991,5.078276766779444,7314865176,2544
192,Albania,2005,0,2783320,0.0,8158548717,2931
204,Albania,2006,0,2780176,0.0,8992642349,3235
216,Albania,2007,124,2770344,4.47597843444713,10701011897,3863
228,Albania,2008,160,2757059,5.803285312356391,12881352688,4672
240,Albania,2009,0,2745735,0.0,12044212904,4387
252,Albania,2010,96,2736025,3.5087398689704954,11926953259,4359
336,Antigua and Barbuda,1991,0,60394,0.0,481706333,7976
348,Antigua and Barbuda,1992,0,61741,0.0,499281148,8087
360,Antigua and Barbuda,1993,1,63315,1.5794045644791914,535172778,8453
372,Antigua and Barbuda,1994,0,65044,0.0,589429593,9062
384,Antigua and Barbuda,1995,0,66846,0.0,577280741,8636
396,Antigua and Barbuda,1998,0,72225,0.0,727860593,10078
408,Antigua and Barbuda,1999,0,73832,0.0,766198926,10378
420,Antigua and Barbuda,2000,2,75326,2.6551257202028515,830158778,11021
432,Antigua and Barbuda,2001,2,76497,2.614481613658052,800740259,10468
444,Antigua and Barbuda,2002,0,77588,0.0,814615333,10499
456,Antigua and Barbuda,2003,1,78658,1.2713265020722622,855643111,10878
468,Antigua and Barbuda,2004,2,79722,2.508717794335315,919577148,11535
480,Antigua and Barbuda,2005,0,80809,0.0,1022191296,12649
492,Antigua and Barbuda,2006,0,81973,0.0,1157005444,14114
504,Antigua and Barbuda,2007,1,83131,1.2029206914388135,1311401333,15775
516,Antigua and Barbuda,2008,0,84273,0.0,1368431037,16238
528,Antigua and Barbuda,2009,0,85405,0.0,1224253000,14335
660,Argentina,1991,1951,29623000,6.586098639570604,189719984268,6404
672,Argentina,1992,2184,30045400,7.26899958063464,228788617202,7615
684,Argentina,1993,2230,30477500,7.3168731031088505,236741715015,7768
