,Unnamed: 0,country,year,suicides_no,population,suicides_calc,gdp,gdp_per_capita
0,36,Albania,1992,47,2822500,1.665190434,709452584,251
1,48,Albania,1993,73,2807300,2.600363338,1228071038,437
2,60,Albania,1994,50,2849300,1.754816973,1985673798,697
3,72,Albania,1995,88,2903400,3.030929255,2424499009,835
4,84,Albania,1996,89,2940200,3.027004966,3314898292,1127
5,96,Albania,1997,170,2977300,5.70987136,2359903108,793
6,108,Albania,1998,154,3012700,5.111693829,2707123772,899
7,120,Albania,1999,139,3029700,4.587912995,3414760915,1127
8,132,Albania,2000,54,2796300,1.93112327,3632043908,1299
9,144,Albania,2001,119,2799349,4.250988355,4060758804,1451
10,156,Albania,2002,133,2818839,4.718254572,4435078648,1573
11,168,Albania,2003,124,2843929,4.36016511,5746945913,2021
12,180,Albania,2004,146,2874991,5.078276767,7314865176,2544
13,192,Albania,2005,0,2783320,0.0,8158548717,2931
14,204,Albania,2006,0,2780176,0.0,8992642349,3235
15,216,Albania,2007,124,2770344,4.475978434,10701011897,3863
16,228,Albania,2008,160,2757059,5.803285312,12881352688,4672
17,240,Albania,2009,0,2745735,0.0,12044212904,4387
18,252,Albania,2010,96,2736025,3.508739869,11926953259,4359
19,336,Antigua and Barbuda,1991,0,60394,0.0,481706333,7976
20,348,Antigua and Barbuda,1992,0,61741,0.0,499281148,8087
21,360,Antigua and Barbuda,1993,1,63315,1.579404564,535172778,8453
22,372,Antigua and Barbuda,1994,0,65044,0.0,589429593,9062
23,384,Antigua and Barbuda,1995,0,66846,0.0,577280741,8636
24,396,Antigua and Barbuda,1998,0,72225,0.0,727860593,10078
25,408,Antigua and Barbuda,1999,0,73832,0.0,766198926,10378
26,420,Antigua and Barbuda,2000,2,75326,2.65512572,830158778,11021
27,432,Antigua and Barbuda,2001,2,76497,2.614481614,800740259,10468
28,444,Antigua and Barbuda,2002,0,77588,0.0,814615333,10499
29,456,Antigua and Barbuda,2003,1,78658,1.271326502,855643111,10878
30,468,Antigua and Barbuda,2004,2,79722,2.508717794,919577148,11535
31,480,Antigua and Barbuda,2005,0,80809,0.0,1022191296,12649
32,492,Antigua and Barbuda,2006,0,81973,0.0,1157005444,14114
33,504,Antigua and Barbuda,2007,1,83131,1.202920691,1311401333,15775
34,516,Antigua and Barbuda,2008,0,84273,0.0,1368431037,16238
35,528,Antigua and Barbuda,2009,0,85405,0.0,1224253000,14335
36,660,Argentina,1991,1951,29623000,6.58609864,189719984268,6404
37,672,Argentina,1992,2184,30045400,7.268999581,228788617202,7615
38,684,Argentina,1993,2230,30477500,7.316873103,236741715015,7768
39,696,Argentina,1994,2241,30911200,7.249799425,257440000000,8328
40,708,Argentina,1995,2204,31345400,7.031334741,258031750000,8232
41,720,Argentina,1996,2229,31780700,7.013690699,272149750000,8563
42,732,Argentina,1997,2184,32333781,6.754545656,292859000000,9057
43,744,Argentina,1998,2347,32757259,7.164824139,298948250000,9126
44,756,Argentina,1999,2423,33174862,7.303722921,283523000000,8546
45,768,Argentina,2000,2774,33585533,8.25950864,284203750000,8462
46,780,Argentina,2001,3132,34010946,9.208800014,268696750000,7900
47,792,Argentina,2002,3162,34407507,9.189854993,97724004252,2840
48,804,Argentina,2003,3289,34785907,9.45497842,127586973492,3668
49,816,Argentina,2004,3121,35162945,8.875820839,164657930453,4683
50,828,Argentina,2005,3058,35550617,8.601819766,198737095012,5590
51,840,Argentina,2006,3108,35918886,8.652829601,232557260817,6475
52,852,Argentina,2007,2946,36315492,8.112240363,287530508431,7918
53,864,Argentina,2008,3059,36733520,8.327543889,361558037110,9843
